  1	  521.49
  1	  244.60
  2	  180.59
  2	  139.69
  3	  117.99
  3	  113.62
  4	   91.20
  4	  102.83
  5	   74.47
  5	   95.09
  6	   62.65
  6	   98.09
  7	   45.65
  7	   86.56
  8	   40.45
  8	   88.29
  9	   35.76
  9	   87.10
 10	   34.16
 10	   86.78
 11	   33.67
 11	   86.46
 12	   33.51
 12	   86.41
 13	   33.39
 13	   86.43
 14	   33.28
 14	   86.40
 15	   33.25
 15	   86.38
 16	   33.22
 16	   86.37
 17	   33.19
 17	   86.37
 18	   33.17
 18	   86.37
 19	   33.14
 19	   86.37
 20	   33.13
 20	   86.37
 21	   33.13
 21	   86.37
 22	   33.13
 22	   86.37
 23	   33.13
 23	   86.37
 24	   33.13
 24	   86.37
 25	   33.13
 25	   86.37
 26	   33.13
 26	   86.37
 27	   33.13
 27	   86.37
 28	   33.13
 28	   86.37
 29	   33.13
 29	   86.37
 30	   33.13
 30	   86.37
 31	   33.13
 31	   86.37
 32	   33.13
 32	   86.37
 33	   33.13
 33	   86.37
 34	   33.13
 34	   86.37
 35	   33.13
 35	   86.37
 36	   33.13
 36	   86.37
 37	   33.13
 37	   86.37
 38	   33.13
 38	   86.37
 39	   33.13
 39	   86.37
 40	   33.13
 40	   86.37
end	   81.98
