  1	  509.63
  1	  215.83
  2	  193.76
  2	  135.08
  3	  134.09
  3	  112.98
  4	  109.62
  4	  104.01
  5	   95.15
  5	   96.17
  6	   84.81
  6	   89.76
  7	   77.41
  7	   89.93
  8	   64.48
  8	   81.23
  9	   60.80
  9	   80.22
 10	   58.82
 10	   79.63
 11	   56.79
 11	   79.67
 12	   54.14
 12	   78.17
 13	   52.87
 13	   78.09
 14	   52.54
 14	   77.98
 15	   51.80
 15	   77.83
 16	   51.26
 16	   77.97
 17	   50.76
 17	   77.54
 18	   50.74
 18	   77.48
 19	   50.32
 19	   77.49
 20	   49.91
 20	   77.45
 21	   49.91
 21	   77.43
 22	   49.68
 22	   77.41
 23	   49.88
 23	   77.42
 24	   49.97
 24	   77.42
 25	   49.84
 25	   77.42
 26	   49.68
 26	   77.42
 27	   49.98
 27	   77.42
 28	   49.85
 28	   77.42
 29	   49.98
 29	   77.42
 30	   49.89
 30	   77.42
 31	   49.66
 31	   77.42
 32	   49.92
 32	   77.42
 33	   49.86
 33	   77.42
 34	   50.10
 34	   77.42
 35	   50.12
 35	   77.42
 36	   49.90
 36	   77.42
 37	   49.77
 37	   77.42
 38	   49.84
 38	   77.42
 39	   49.68
 39	   77.42
 40	   50.09
 40	   77.42
end	   73.83
