  1	  513.82
  1	  237.43
  2	  184.46
  2	  137.48
  3	  123.76
  3	  111.94
  4	   98.39
  4	  102.68
  5	   83.64
  5	   92.68
  6	   72.92
  6	   89.08
  7	   64.72
  7	   89.18
  8	   50.97
  8	   81.02
  9	   47.05
  9	   80.68
 10	   44.68
 10	   81.22
 11	   41.29
 11	   80.23
 12	   40.31
 12	   80.25
 13	   39.40
 13	   79.98
 14	   39.30
 14	   80.01
 15	   38.79
 15	   79.96
 16	   38.85
 16	   79.96
 17	   38.71
 17	   79.96
 18	   38.78
 18	   79.95
 19	   38.91
 19	   79.95
 20	   38.80
 20	   79.95
 21	   38.75
 21	   79.95
 22	   38.66
 22	   79.95
 23	   38.71
 23	   79.95
 24	   38.75
 24	   79.95
 25	   38.76
 25	   79.95
 26	   38.81
 26	   79.95
 27	   38.71
 27	   79.95
 28	   38.78
 28	   79.95
 29	   38.78
 29	   79.95
 30	   38.67
 30	   79.95
 31	   38.78
 31	   79.95
 32	   38.71
 32	   79.95
 33	   38.74
 33	   79.95
 34	   38.67
 34	   79.95
 35	   38.80
 35	   79.95
 36	   38.70
 36	   79.95
 37	   38.67
 37	   79.95
 38	   38.80
 38	   79.95
 39	   38.70
 39	   79.95
 40	   38.65
 40	   79.95
end	   75.58
